icon;url;license;date;
info_solid.svg;https://fontawesome.com/v5.15/icons/info?style=solid;https://fontawesome.com/license;22.07.2021;
plus_solid.svg;https://fontawesome.com/v5.15/icons/plus?style=solid;https://fontawesome.com/license;22.07.2021;
minus_solid.svg;https://fontawesome.com/v5.15/icons/minus?style=solid;https://fontawesome.com/license;22.07.2021;
dumbbell;https://fontawesome.com/v5.15/icons/dumbbell?style=solid;https://fontawesome.com/license;22.07.2021;
arrow-down-solid.svg;https://fontawesome.com/v5.15/icons/arrow-down?style=solid;https://fontawesome.com/license;22.07.2021;
arrow-left-solid.svg;https://fontawesome.com/v5.15/icons/arrow-left?style=solid;https://fontawesome.com/license;22.07.2021;
arrow-right-solid.svg;https://fontawesome.com/v5.15/icons/arrow-right?style=solid;https://fontawesome.com/license;22.07.2021;
arrow-up-solid.svg;https://fontawesome.com/v5.15/icons/arrow-up?style=solid;https://fontawesome.com/license;22.07.2021;
user-alt-solid.svg;https://fontawesome.com/v5.15/icons/user-alt?style=solid;https://fontawesome.com/license;25.08.2021;
pencil-alt-solid.svg;https://fontawesome.com/v5.15/icons/pencil-alt?style=solid;https://fontawesome.com/license;26.08.2021;
file-import-solid.svg;https://fontawesome.com/v5.15/icons/file-import?style=solid;https://fontawesome.com/license;26.08.2021;
